type,interval_time,from,to,quantity,hide_in,hide_out
dispatch,04:30,500101095,500101132,1,,
dispatch,04:30,500101097,500101021,1,,
dispatch,04:30,500101097,500101206,2,,
dispatch,04:30,500101097,500101227,1,,
hide/release,04:30,500101097,,,0,4
dispatch,04:30,500101099,500101120,3,,
hide/release,04:30,500101100,,,0,1
dispatch,04:30,500101102,500101198,2,,
hide/release,04:30,500101102,,,0,2
hide/release,04:30,500101113,,,0,2
dispatch,04:30,500101116,500101105,2,,
dispatch,04:30,500101116,500101137,3,,
hide/release,04:30,500101116,,,0,1
dispatch,04:30,500101126,500101022,3,,
dispatch,04:30,500101126,500101132,1,,
dispatch,04:30,500101127,500101147,1,,
hide/release,04:30,500101129,,,0,2
dispatch,04:30,500101130,500101151,1,,
hide/release,04:30,500101142,,,0,1
dispatch,04:30,500101154,500101147,3,,
hide/release,04:30,500101157,,,0,1
dispatch,04:30,500101165,500101028,1,,
hide/release,04:30,500101176,,,0,1
dispatch,04:30,500101187,500101151,1,,
hide/release,04:30,500101187,,,0,1
hide/release,04:30,500101190,,,0,1
dispatch,04:30,500101193,500101161,1,,
hide/release,04:30,500101199,,,0,1
dispatch,04:30,500101215,500101182,1,,
hide/release,04:30,500101215,,,0,1
dispatch,04:30,500101216,500101038,1,,
dispatch,04:30,500101216,500101123,1,,
hide/release,04:30,500101216,,,0,2
dispatch,04:30,500101218,500101159,1,,
dispatch,04:30,500101231,500101010,2,,
hide/release,04:30,500101231,,,0,3
dispatch,04:30,500101235,500101209,1,,
dispatch,04:30,500101236,500101133,3,,
hide/release,04:30,500101240,,,0,1
dispatch,04:30,500101244,500101189,1,,
dispatch,04:30,500101248,500101140,2,,
hide/release,04:30,500101248,,,0,1
hide/release,04:30,500101253,,,0,1
hide/release,05:00,500101013,,,0,1
hide/release,05:00,500101019,,,0,1
hide/release,05:00,500101032,,,0,1
dispatch,05:00,500101033,500101137,3,,
dispatch,05:00,500101033,500101147,1,,
hide/release,05:00,500101033,,,0,1
hide/release,05:00,500101042,,,0,1
dispatch,05:00,500101091,500101152,1,,
dispatch,05:00,500101091,500101181,1,,
hide/release,05:00,500101094,,,0,1
hide/release,05:00,500101095,,,0,1
dispatch,05:00,500101097,500101101,1,,
dispatch,05:00,500101097,500101243,2,,
hide/release,05:00,500101097,,,0,2
hide/release,05:00,500101100,,,0,1
